Timestamp;Frame;ID;DLC;D0;D1;D2;D3;D4;D5;D6;D7
0;EFF;18000000;8;24;82;0;1A;0;0;33;8A
0;EFF;18000100;8;24;82;0;1A;0;0;32;F8
0;EFF;18000200;8;24;82;0;1A;0;0;0C;DF
197;EFF;18000300;8;24;82;0;1A;0;0;0C;E5
198;EFF;18000400;8;24;82;0;1A;0;0;0C;E1
198;EFF;18000500;8;24;82;0;1A;0;0;0;2D
198;EFF;18000600;8;24;82;0;1A;0;0;0C;E5
198;EFF;18000700;8;24;82;0;3A;0;0;0;3C
397;EFF;18000800;5;1E;41;C8;0;0;;;
397;EFF;18000900;5;1E;42;92;F8;52;;;
998;EFF;18000000;8;24;82;0;1A;0;0;33;8A
998;EFF;18000100;8;24;82;0;1A;0;0;32;ED
1000;EFF;18000200;8;24;82;0;1A;0;0;0C;DF
1175;EFF;18000300;8;24;82;0;1A;0;0;0C;E5
1175;EFF;18000400;8;24;82;0;1A;0;0;0C;E1
1175;EFF;18000500;8;24;82;0;1A;0;0;0;2D
1197;EFF;18000600;8;24;82;0;1A;0;0;0C;E5
1197;EFF;18000700;8;24;82;0;3A;0;0;0;3C
1199;EFF;18000800;5;1E;41;C8;0;0;;;
1396;EFF;18000900;5;1E;42;92;F8;51;;;
1994;EFF;18000000;8;24;82;0;1A;0;0;33;8A
1995;EFF;18000100;8;24;82;0;1A;0;0;32;FC
1995;EFF;18000200;8;24;82;0;1A;0;0;0C;DF
2152;EFF;18000300;8;24;82;0;1A;0;0;0C;E5
2152;EFF;18000400;8;24;82;0;1A;0;0;0C;E1
2153;EFF;18000500;8;24;82;0;1A;0;0;0;2D
2195;EFF;18000600;8;24;82;0;1A;0;0;0C;E5
2195;EFF;18000700;8;24;82;0;3A;0;0;0;33
2195;EFF;18000800;5;1E;41;C8;0;0;;;
2394;EFF;18000900;5;1E;42;92;F8;50;;;
2994;EFF;18000000;8;24;82;0;1A;0;0;33;8A
2994;EFF;18000100;8;24;82;0;1A;0;0;32;E4
2996;EFF;18000200;8;24;82;0;1A;0;0;0C;DF
3130;EFF;18000300;8;24;82;0;1A;0;0;0C;E5
3131;EFF;18000400;8;24;82;0;1A;0;0;0C;E1
3131;EFF;18000500;8;24;82;0;1A;0;0;0;2D
3195;EFF;18000600;8;24;82;0;1A;0;0;0C;E4
3195;EFF;18000700;8;24;82;0;3A;0;0;0;3C
3195;EFF;18000800;5;1E;41;C8;0;0;;;
3393;EFF;18000900;5;1E;42;92;F8;4F;;;
3992;EFF;18000000;8;24;82;0;1A;0;0;33;8A
3992;EFF;18000100;8;24;82;0;1A;0;0;32;FA
3993;EFF;18000200;8;24;82;0;1A;0;0;0C;DF
4107;EFF;18000300;8;24;82;0;1A;0;0;0C;E4
4108;EFF;18000400;8;24;82;0;1A;0;0;0C;E1
4108;EFF;18000500;8;24;82;0;1A;0;0;0;2D
4192;EFF;18000600;8;24;82;0;1A;0;0;0C;E4
4194;EFF;18000700;8;24;82;0;3A;0;0;0;3C
